,Male_16_white,Male_64_white,Female_16_white,Female_64_white,NAME,county,state,LF_White,Male_16_black,Male_64_black,Female_16_black,Female_64_black,LF_Black,Male_16_NA,Male_64_NA,Female_16_NA,Female_64_NA,LF_NA,Male_16_A,Male_64_A,Female_16_A,Female_64_A,Male_16_PI,Male_64_PI,Female_16_PI,Female_64_PI,LF_API,Male_16_other,Male_64_other,Female_16_other,Female_64_other,LF_Other,Male_16_2,Male_64_2,Female_16_2,Female_64_2,LF_2,Male_16_hispanic,Male_64_hispanic,Female_16_hispanic,Female_64_hispanic,LF_Hispanic,LF_Total,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,API
42,5252.0,677.0,4846.0,446.0,"Jo Daviess County, Illinois",085,17,11221.0,4.0,0.0,9.0,0.0,13.0,0.0,0.0,3.0,0.0,3.0,33.0,5.0,9.0,0.0,2.0,0.0,14.0,0.0,63.0,27.0,0.0,6.0,0.0,33.0,34.0,26.0,39.0,0.0,99.0,158.0,0.0,119.0,0.0,277.0,11432.0,21648.0,89.0,27.0,112.0,20.0,46.0,244.0,652.0,22186,132.0
43,2308.0,143.0,2136.0,110.0,"Johnson County, Illinois",087,17,4697.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,3.0,24.0,0.0,14.0,0.0,38.0,29.0,0.0,34.0,0.0,63.0,4774.0,11439.0,1245.0,22.0,32.0,0.0,22.0,106.0,436.0,12866,32.0
44,105533.0,6349.0,90595.0,4606.0,"Kane County, Illinois",089,17,207083.0,6672.0,287.0,7524.0,219.0,14702.0,419.0,87.0,365.0,7.0,878.0,5226.0,183.0,4762.0,147.0,60.0,0.0,0.0,0.0,10378.0,24237.0,234.0,16209.0,78.0,40758.0,1790.0,17.0,2063.0,5.0,3875.0,46274.0,710.0,33004.0,254.0,80242.0,277674.0,381666.0,29545.0,1900.0,19647.0,122.0,82248.0,11487.0,165114.0,526615,19769.0
45,22858.0,1306.0,20307.0,1159.0,"Kankakee County, Illinois",091,17,45630.0,2945.0,66.0,3624.0,122.0,6757.0,66.0,0.0,30.0,0.0,96.0,314.0,30.0,219.0,18.0,24.0,0.0,13.0,0.0,618.0,620.0,4.0,438.0,0.0,1062.0,256.0,7.0,364.0,7.0,634.0,2836.0,50.0,2071.0,54.0,5011.0,54797.0,89149.0,16908.0,334.0,1192.0,37.0,1856.0,2017.0,10975.0,111493,1229.0
46,27813.0,1352.0,24799.0,1146.0,"Kendall County, Illinois",093,17,55110.0,2417.0,0.0,2211.0,42.0,4670.0,55.0,0.0,0.0,0.0,55.0,946.0,0.0,909.0,89.0,0.0,0.0,0.0,0.0,1944.0,1924.0,12.0,1161.0,12.0,3109.0,461.0,0.0,743.0,31.0,1235.0,5619.0,12.0,4586.0,12.0,10229.0,66123.0,100946.0,7933.0,86.0,3821.0,0.0,5704.0,2962.0,20608.0,121452,3821.0
47,9942.0,602.0,9425.0,577.0,"Knox County, Illinois",095,17,20546.0,736.0,19.0,544.0,76.0,1375.0,14.0,0.0,23.0,0.0,37.0,83.0,10.0,156.0,0.0,0.0,0.0,0.0,0.0,249.0,258.0,4.0,206.0,0.0,468.0,147.0,4.0,104.0,0.0,255.0,615.0,7.0,511.0,0.0,1133.0,22930.0,44825.0,4400.0,119.0,558.0,0.0,1097.0,753.0,2778.0,51752,558.0
48,158592.0,9908.0,131646.0,6903.0,"Lake County, Illinois",097,17,307049.0,11986.0,306.0,12520.0,321.0,25133.0,336.0,8.0,234.0,0.0,578.0,13457.0,540.0,11679.0,353.0,55.0,0.0,97.0,0.0,26181.0,7863.0,163.0,5996.0,31.0,14053.0,3787.0,46.0,2998.0,58.0,6889.0,42240.0,561.0,31029.0,418.0,74248.0,379883.0,560871.0,48091.0,1116.0,48690.0,353.0,25062.0,18707.0,146608.0,702890,49043.0
49,26950.0,1640.0,23721.0,1203.0,"LaSalle County, Illinois",099,17,53514.0,469.0,0.0,256.0,5.0,730.0,17.0,0.0,78.0,0.0,95.0,94.0,0.0,326.0,42.0,33.0,0.0,5.0,0.0,500.0,367.0,0.0,164.0,7.0,538.0,290.0,25.0,207.0,0.0,522.0,2583.0,26.0,1929.0,29.0,4567.0,55899.0,105539.0,2732.0,265.0,754.0,38.0,986.0,1621.0,10126.0,111935,792.0
50,1684.0,249.0,2842.0,242.0,"Lawrence County, Illinois",101,17,5017.0,2.0,0.0,25.0,0.0,27.0,1.0,0.0,7.0,0.0,8.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,32.0,0.0,44.0,23.0,0.0,27.0,0.0,50.0,5137.0,13351.0,2706.0,33.0,43.0,18.0,174.0,257.0,806.0,16582,61.0
51,7750.0,516.0,6898.0,386.0,"Lee County, Illinois",103,17,15550.0,128.0,0.0,112.0,0.0,240.0,41.0,0.0,3.0,0.0,44.0,78.0,0.0,32.0,0.0,39.0,0.0,9.0,0.0,158.0,73.0,0.0,102.0,0.0,175.0,167.0,3.0,93.0,0.0,263.0,274.0,7.0,331.0,6.0,618.0,16430.0,31520.0,1767.0,70.0,216.0,61.0,463.0,621.0,1989.0,34718,277.0
